"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayGLM","resultDelayGLM","abs(errorGLM)"
"1",3,0,0,3,0,0,3.05145e-12,3.05145e-12,5.30839555555555e-12,73.9630521737389
"2",0,3,0,3,0,0,3.38253e-12,3.38253e-12,4.24975888888889e-12,25.6384685099286
"3",0,0,3,3,0,0,3.75145e-12,3.75145e-12,4.76931555555555e-12,27.1325902132656
"4",3,0,0,0,3,0,3.00165e-12,3.00165e-12,3.92771555555556e-12,30.851883316028
"5",0,3,0,0,3,0,3.55007e-12,3.55007e-12,2.86907888888889e-12,19.1824699544266
"6",0,0,3,0,3,0,4.11342e-12,4.11342e-12,3.38863555555555e-12,17.6199961210974
"7",3,0,0,0,0,3,4.09472e-12,4.09472e-12,4.08761888888889e-12,0.173421164600074
"8",0,3,0,0,0,3,4.77389e-12,4.77389e-12,3.02898222222222e-12,36.551067950409
"9",0,0,3,0,0,3,5.45886e-12,5.45886e-12,3.54853888888889e-12,34.9948727593511
