"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",3,0,0,3,0,0,1.56457e-12,1.56457e-12,1.56457e-12,0
"2",0,3,0,3,0,0,1.70242e-12,1.70242e-12,1.56457e-12,8.09729678927643
"3",0,0,3,3,0,0,1.86088e-12,1.86088e-12,1.56457e-12,15.9231116461029
"4",3,0,0,0,3,0,1.51832e-12,1.51832e-12,1.56457e-12,3.04612993308395
"5",0,3,0,0,3,0,1.78747e-12,1.78747e-12,1.70242e-12,4.75812181463187
"6",0,0,3,0,3,0,2.07262e-12,2.07262e-12,1.86088e-12,10.2160550414451
"7",3,0,0,0,0,3,2.19118e-12,2.19118e-12,1.56457e-12,28.5969203807994
"8",0,3,0,0,0,3,2.53642e-12,2.53642e-12,1.70242e-12,32.8809897414466
"9",0,0,3,0,0,3,2.86628e-12,2.86628e-12,1.86088e-12,35.076824315838
