"","Ton","Age","Delay","MTTF","RUL"
"1","0.10","1.0","40.25E-12","25","24"
"2","0.10","3.5","40.83E-12","25","21.5"
"3","0.10","4.7","40.99E-12","25","20.3"
"4","0.10","5.4","41.07E-12","25","19.6"
"5","0.10","6.3","41.15E-12","25","18.7"
"6","0.10","9.2","41.37E-12","25","15.8"
"7","0.10","9.4","41.39E-12","25","15.6"
"8","0.30","1.0","40.86E-12","6.5","5.5"
"9","0.30","3.5","41.59E-12","6.5","3.0"
"10","0.30","4.7","41.78E-12","6.5","1.8"
"11","0.30","5.4","41.87E-12","6.5","1.3"
"12","0.30","6.3","41.97E-12","6.5","0.2"
"13","0.50","1.0","41.19E-12","3.6","2.6"
"14","0.50","2.1","41.64E-12","3.6","1.5"
"15","0.50","3.5","41.98E-12","3.6","0.1"
"16","0.70","2.1","41.90E-12","2.5","0.4"
"17","0.70","2.5","42.00E-12","2.5","0.0"
"18","0.90","1.0","41.59E-12","1.9","0.9"
"19","0.90","1.6","41.90E-12","1.9","0.3"
"20","0.90","1.8","41.98E-12","1.9","0.1"

